Предложение,Название произведения,Номер автора
"Если бы не духота и спертый запах ржаного хлеба, укропа и лозы, от которого захватывало дыхание, то тут, под соломенною крышей и в сумерках, отлично можно было бы прятаться от гостей и думать о маленьком человечке.",Именины,18
Уютно и тихо.,Именины,18
- Какое здесь хорошенькое местечко!,Именины,18
- сказал женский голос.,Именины,18
"- Посидимте здесь, Петр Дмитрич.",Именины,18
Ольга Михайловна стала глядеть в щель между двумя хворостинами.,Именины,18
"Она увидела своего мужа Петра Дмитрича и гостью Любочку Шеллер, семнадцатилетнюю девочку, недавно кончившую в институте.",Именины,18
"Петр Дмитрич, со шляпой на затылке, томный и ленивый оттого, что много пил за обедом, вразвалку ходил около плетня и ногой сгребал в кучу сено; Любочка, розовая от жары и, как всегда, хорошенькая, стояла, заложив руки назад, и следила за ленивыми движениями его большого красивого тела.",Именины,18
"Ольга Михайловна знала, что ее муж нравится женщинам, и - не любила видеть его с ними.",Именины,18
"Ничего особенного не было в том, что Петр Дмитрич лениво сгребал сено, чтобы посидеть на нем с Любочкой и поболтать о пустяках; ничего не было особенного и в том, что хорошенькая Любочка кротко глядела на него, но все же Ольга Михайловна почувствовала досаду на мужа, страх и удовольствие оттого, что ей можно сейчас подслушать.",Именины,18
"- Садитесь, очаровательница, - сказал Петр Дмитрич, опускаясь на сено и потягиваясь.",Именины,18
- Вот так.,Именины,18
"Ну, расскажите мне что-нибудь.",Именины,18
- Вот еще!,Именины,18
"Я стану рассказывать, а вы уснете.",Именины,18
- Я усну?,Именины,18
"﻿Молодая рыжая собака - помесь такса с дворняжкой - очень похожая мордой на лисицу, бегала взад и вперед по тротуару и беспокойно оглядывалась по сторонам.",Каштанка,18
"Изредка она останавливалась и, плача, приподнимая то одну озябшую лапу, то другую, старалась дать себе отчет: как это могло случиться, что она заблудилась?",Каштанка,18
"Она отлично помнила, как она провела день и как в конце концов попала на этот незнакомый тротуар.",Каштанка,18
"День начался с того, что ее хозяин, столяр Лука Александрыч, надел шапку, взял под мышку какую-то деревянную штуку, завернутую в красный платок, и крикнул:
- Каштанка, пойдем!",Каштанка,18
"Услыхав свое имя, помесь такса с дворняжкой вышла из-под верстака, где она спала на стружках, сладко потянулась и побежала за хозяином.",Каштанка,18
"Заказчики Луки Александрыча жили ужасно далеко, так что, прежде чем дойти до каждого из них, столяр должен был по нескольку раз заходить в трактир и подкрепляться.",Каштанка,18
"Каштанка помнила, что по дороге она вела себя крайне неприлично.",Каштанка,18
"От радости, что ее взяли гулять, она прыгала, бросалась с лаем на вагоны конножелезки, забегала во дворы и гонялась за собаками.",Каштанка,18
"Столяр то и дело терял ее из виду, останавливался и сердито кричал на нее.",Каштанка,18
"Раз даже он с выражением алчности на лице забрал в кулак ее лисье ухо, потрепал и проговорил с расстановкой:
- Чтоб... ты... из... дох... ла, холера!",Каштанка,18
"Побывав у заказчиков, Лука Александрыч зашел на минутку к сестре, у которой пил и закусывал; от сестры пошел он к знакомому переплетчику, от переплетчика в трактир, из трактира к куму и т.д.",Каштанка,18
"Одним словом, когда Каштанка попала на незнакомый тротуар, то уже вечерело и столяр был пьян, как сапожник.",Каштанка,18
"Он размахивал руками и, глубоко вздыхая, бормотал:
- Во гресех роди мя мати во утробе моей!",Каштанка,18
"Ох, грехи, грехи!",Каштанка,18
"Теперь вот мы по улице идем и на фонарики глядим, а как помрем - в гиене огненной гореть будем...
Или же он впадал в добродушный тон, подзывал к себе Каштанку и говорил ей:
- Ты, Каштанка, насекомое существо и больше ничего.",Каштанка,18
"Супротив человека ты все равно, что плотник супротив столяра...
Когда он разговаривал с нею таким образом, вдруг загремела музыка.",Каштанка,18
"Каштанка оглянулась и увидела, что по улице прямо на нее шел полк солдат.",Каштанка,18
"Не вынося музыки, которая расстраивала ей нервы, она заметалась и завыла.",Каштанка,18
"К великому ее удивлению, столяр, вместо того чтобы испугаться, завизжать и залаять, широко улыбнулся, вытянулся во фрунт и всей пятерней сделал под козырек.",Каштанка,18
"Видя, что хозяин не протестует, Каштанка еще громче завыла и, не помня себя, бросилась через дорогу на другой тротуар.",Каштанка,18
"Когда она опомнилась, музыка уже не играла и полка не было.",Каштанка,18
"Она перебежала дорогу к тому месту, где оставила хозяина, но, увы!",Каштанка,18
столяра уже там не было.,Каштанка,18
"Она бросилась вперед, потом назад, еще раз перебежала дорогу, но столяр точно сквозь землю провалился... Каштанка стала обнюхивать тротуар, надеясь найти хозяина по запаху его следов, но раньше какой-то негодяй прошел в новых резиновых калошах, и теперь все тонкие запахи мешались с острою каучуковою вонью, так что ничего нельзя было разобрать.",Каштанка,18
"Каштанка бегала взад и вперед и не находила хозяина, а между тем становилось темно.",Каштанка,18
"По обе стороны улицы зажглись фонари, и в окнах домов показались огни.",Каштанка,18
"Шел крупный пушистый снег и красил в белое мостовую, лошадиные спины, шапки извозчиков, и чем больше темнел воздух, тем белее становились предметы.",Каштанка,18
"Мимо Каштанки, заслоняя ей поле зрения и толкая ее ногами, безостановочно взад и вперед проходили незнакомые заказчики.",Каштанка,18
"(Все человечество Каштанка делила на две очень неравные части: на хозяев и на заказчиков; между теми и другими была существенная разница: первые имели право бить ее, а вторых она сама имела право хватать за икры.)",Каштанка,18
Заказчики куда-то спешили и не обращали на нее никакого внимания.,Каштанка,18
"﻿В больничном дворе стоит небольшой флигель, окруженный целым лесом репейника, крапивы и дикой конопли.",Палата No 6,18
"Крыша на нем ржавая, труба наполовину обвалилась, ступеньки у крыльца сгнили и поросли травой, а от штукатурки остались одни только следы.",Палата No 6,18
"Передним фасадом обращен он к больнице, задним - глядит в поле, от которого отделяет его серый больничный забор с гвоздями.",Палата No 6,18
"Эти гвозди, обращенные остриями кверху, и забор, и самый флигель имеют тот особый унылый, окаянный вид, какой у нас бывает только у больничных и тюремных построек.",Палата No 6,18
"Если вы не боитесь ожечься о крапиву, то пойдемте по узкой тропинке, ведущей к флигелю, и посмотрим, что делается внутри.",Палата No 6,18
"Отворив первую дверь, мы входим в сени.",Палата No 6,18
Здесь у стен и около печки навалены целые горы больничного хлама.,Палата No 6,18
"Матрацы, старые изодранные халаты, панталоны, рубахи с синими полосками, никуда не годная, истасканная обувь - вся эта рвань свалена в кучи, перемята, спуталась, гниет и издает удушливый, запах.",Палата No 6,18
"На хламе всегда с трубкой в зубах лежит сторож Никита, старый отставной солдат с порыжелыми нашивками.",Палата No 6,18
"У него суровое, испитое лицо, нависшие брови, придающие лицу выражение степной овчарки, и красный нос; он невысок ростом, на вид сухощав и жилист, но осанка у него внушительная и кулаки здоровенные.",Палата No 6,18
"Принадлежит он к числу тех простодушных, положительных, исполнительных и тупых людей, которые больше всего на свете любят порядок и потому убеждены, что их надо бить.",Палата No 6,18
"Он бьет по лицу, по груди, по спине, по чем попало, и уверен, что без этого не было бы здесь порядка.",Палата No 6,18
"Далее вы входите в большую, просторную комнату, занимающую весь флигель, если не считать сеней.",Палата No 6,18
"Стены здесь, вымазаны грязно-голубою краской, потолок закопчен, как в курной избе, - ясно, что здесь зимой дымят печи и бывает угарно.",Палата No 6,18
Окна изнутри обезображены железными решетками.,Палата No 6,18
Пол сор и занозист.,Палата No 6,18
"Воняет кислою капустой, фитильною гарью, клопами и аммиаком, и эта вонь в первую минуту производит на вас такое впечатление, как будто вы входите в зверинец.",Палата No 6,18
"В комнате стоят кровати, привинченные к полу.",Палата No 6,18
На них сидят и лежат люди в синих больничных халатах и по-старинному в колпаках.,Палата No 6,18
Это - сумасшедшие.,Палата No 6,18
Всех их здесь пять человек.,Палата No 6,18
"Только один благородного звания, остальные же все мещане.",Палата No 6,18
"Первый от двери, высокий, худощавый мещанин с рыжими блестящими усами и с заплаканными глазами, сидит, подперев голову, и глядит в одну точку.",Палата No 6,18
"День и ночь он грустит, покачивая головой, вздыхая и горько улыбаясь; в разговорах он редко принимает участие и на вопросы обыкновенно не отвечает.",Палата No 6,18
"Ест и пьет он машинально, когда дают.",Палата No 6,18
"Судя по мучительному, бьющему кашлю, худобе и румянцу на щеках, у него начинается чахотка.",Палата No 6,18
"За ним следует маленький, живой, очень подвижной старик с острою бородкой и с черными, кудрявыми, как у негра, волосами.",Палата No 6,18
"Днем он прогуливается по палате от окна к окну или сидит на своей постели, поджав по-турецки ноги, и неугомонно, как снегирь, насвистывает, тихо поет и хихикает.",Палата No 6,18
"Детскую веселость и живой характер проявляет он и ночью, когда встает затем, чтобы помолиться богу, то есть постучать себя кулаками по груди и поковырять пальцем в дверях.",Палата No 6,18
"Это жид Мойсейка, дурачок, помешавшийся лет двадцать назад, когда у него сгорела шапочная мастерская.",Палата No 6,18
"﻿Петровки, самый разгар работ, – и отец целый день на стройках.",Богомолье,19
"Приказчик Василь Василин и не ночует дома, а все в артелях.",Богомолье,19
"Горкин свое уже отслужил – «на покое», и его тревожат только в особых случаях, когда требуется свой глаз.",Богомолье,19
"Работы у нас большие, с какой-то «неустойкой»: не кончишь к сроку – можно и прогореть.",Богомолье,19
"Спрашиваю у Горкина:
– Это что же такое – «прогореть»?",Богомолье,19
– А вот скинут последнюю рубаху – вот те и прогорел!,Богомолье,19
Как прогорают-то… очень просто.,Богомолье,19
"А с народом совсем беда: к покосу бегут домой, в деревню, – и самые-то золотые руки.",Богомолье,19
"Отец страшно озабочен, спешит-спешит, летний его пиджак весь мокрый, пошла жара, Кавказка все ноги отмотала по постройкам, с утра до вечера не расседлана.",Богомолье,19
"Слышишь – отец кричит:
– Полуторное плати, только попридержи народ!",Богомолье,19
"Вот бедовый народишка… рядились, черти, – обещались не уходить к покосу, а у нас неустойки тысячные… Да не в деньгах дело, а себя уроним.",Богомолье,19
"Вбей ты им, дуракам, в башку… втрое ведь у меня получат, чем со своих покосов!",Богомолье,19
"– Вбивал-с, всю глотку оборвал с ними… – разводит беспомощно руками Василь Василии, заметно похудевший, – ничего с ими не поделаешь, со спокон веку так.",Богомолье,19
"И сами понимают, а… гулянки им будто, травкой побаловаться.",Богомолье,19
"Как к покосу – уж тут никакими калачами не удержать, бегут.",Богомолье,19
"Воротятся – приналягут, а покуда сбродных попринаймем.",Богомолье,19
"Как можно-с, к сроку должны поспеть, будь покойны-с, уж догляжу.",Богомолье,19
"То же говорит и Горкин, а он все знает: покос – дело душевное, нельзя иначе, со спокон веку так; на травке поотдохнут – нагонят.",Богомолье,19
"Ранним утром солнце чуть над сараями, а у крыльца уже шарабан.",Богомолье,19
"Отец сбегает по лестнице, жуя на ходу калачик, прыгает на подножку, а тут и Горкин, чего-то ему надо.",Богомолье,19
– Что тебе еще?..,Богомолье,19
"– спрашивает отец тревожно, раздраженно.",Богомолье,19
– Какой еще незалад?,Богомолье,19
"– Да все, слава Богу, ничего.",Богомолье,19
"А вот, хочу вот к Сергию Преподобному сходить помолиться, по обещанию… взад-назад.",Богомолье,19
Отец бьет вожжой Чалого и дергает на себя.,Богомолье,19
Чалый взбрыкивает и крепко сечет по камню.,Богомолье,19
– Ты еще… с пустяками!,Богомолье,19
Так вот тебе в самую горячку и приспичило?,Богомолье,19
Помрешь – до Успенья погодишь?..,Богомолье,19
﻿Въ день Успенья — еще не отошла обѣдня — прискакали въ Калиново урядникъ со стражникомъ.,В Калинове,19
"Тихое утро сполохнулось: подняли гамъ собаки, закричали на пруду гуси, полетѣли съ дороги куры.",В Калинове,19
"Головы выглянули кой-гдѣ въ окошки — нѣтъ ничего, только пылитъ дорога.",В Калинове,19
Но ломавшiе на погостѣ рябину мальчишки примѣтили и пустились къ церкви.,В Калинове,19
— Урядникъ!,В Калинове,19
Урядникъ!..,В Калинове,19
"Урядникъ подскакалъ къ старостиной избѣ, постучалъ нагайкой, узналъ, что староста у обѣдни, и погналъ на бугоръ, къ церкви.",В Калинове,19
А навстрѣчу ему заблаговѣстили къ Достойно.,В Калинове,19
— Въ тютельку подогнали… фуу!..,В Калинове,19
"— передохнулъ урядникъ, соскакивая подъ бузиной, у церкви.",В Калинове,19
— И народъ не сгонятъ.,В Калинове,19
Лихо прошпарили.,В Калинове,19
"Потри-ка мнѣ сапоги лопушкомъ, запылились.",В Калинове,19
А день-то какой замѣчательный… торжественный!,В Калинове,19
"Пришлось бросить пироги и скакать за пятнадцать верстъ, но онъ былъ доволенъ.",В Калинове,19
"Вытерся платочкомъ, расчесалъ бороду — эхъ, борода!",В Калинове,19
"— Потрогалъ у груди, — не затерялъ ли еще, спаси Богъ, — и принялся разминать ноги на лужайкѣ.",В Калинове,19
"— Чалый-то вотъ засѣкся… — Уныло сказалъ стражникъ, разглядывая закровавившуюся переднюю ногу коротыша-чалаго.",В Калинове,19
"— Чисто въ пожаръ скакали, чаю не пимши.",В Калинове,19
— Ворона зеленая — вотъ и засѣкся!,В Калинове,19
"Не пимши — не пимши… По такому порученiю все бросай, не разговаривай!",В Калинове,19
"Въ Кащеево еще поспѣть надо, многолюдiе захватить.",В Калинове,19
Приложь ему лопушкомъ.,В Калинове,19
"Стражникъ, голенастый, съ повислыми рыжими усами, больше похожiй въ выгорѣвшемъ кафтанѣ на монастырскаго трудника, занялся ногой чалаго, а урядникъ досталъ изъ сапога узенькое зеркальце, поглядѣлся и такъ, и эдакъ.",В Калинове,19
"Былъ онъ при полномъ парадѣ: китель чортовой кожи, совсѣмъ новый, пуговицы — по солнцу въ каждой, фуражка, какъ у станововго, за лаковымъ голенищемъ портфель-трубочка, на оранжевомъ шнурѣ револьверъ.",В Калинове,19
Все въ порядкѣ.,В Калинове,19
Прикинулъ стражника.,В Калинове,19
— А фуражку чего новую на надѣлѣ?!,В Калинове,19
Человѣчьимъ языкомъ сказано — въ парадной формѣ!,В Калинове,19
Ворона зеленая!,В Калинове,19
"﻿На нашем дворе всю неделю готовятся: парят кадки и кадочки, кипятят воду в чугунах, для заливки посола, чтобы отстоялась и простыла, режут укроп и хрен, остро пахучий эстрагончик; готовят для отборного засола, черносмородинный и дубовый лист, для крепости и духа, — это веселая работа.",Веселая работа,19
Выкатила кадушки скорнячиха; бараночник Муравлятников готовит целых четыре кадки; сапожник Сараев тоже большую кадку парит.,Веселая работа,19
"А у нас — дым столбом, живое столпотворение.",Веселая работа,19
"Как же можно: огурчика на целый год надо запасти, рабочего-то народу сколько!",Веселая работа,19
"А рабочему человеку без огурчика уж никак нельзя: с огурчиком соленым и хлебца в охотку съешь, и поправиться когда нужно, опохмелиться, — первое средство для оттяжки.",Веселая работа,19
Кадки у нас высокие: Василь Василия на цыпочках поднимается — заглянуть; только Антон Кудрявый заглядывает прямо.,Веселая работа,19
"Кадки дымят, как трубы: в них наливают кипяток, бросают докрасна раскаленные вязки чугунных плашек, — и поднимается страшное шипение, высокие клубы пара, как от костров.",Веселая работа,19
"Накрывают рогожами и парят, чтобы выгнать застойный дух, плесени чтобы не было.",Веселая работа,19
"Горкину приставляют лесенку, и он проверяет выпарку.",Веселая работа,19
"Огурчики — дело строгое, требует чистоты.",Веселая работа,19
"Павел Ермолаич, огородник, пригнал огурца на семи возах: не огурец, а хрящ.",Веселая работа,19
"Пробуют всем двором: сладкие и хрустят, как сахар.",Веселая работа,19
"Слышно, как сочно хряпают: хряп и щелк.",Веселая работа,19
"Ешь, не жалко.",Веселая работа,19
"Откусят — и запустят, выше дома.",Веселая работа,19
"Горкин распоряжается:
— На чистые рогожи отбирай, робята!..",Веселая работа,19
"Бабочки, отмывай покрепше!..",Веселая работа,19
"Свободные от работы плотники, бабы из наших бань, кухарка Марьюшка, горничная Маша, Василь Василич, особенно веселый, — радостной работой заняты.",Веселая работа,19
"Плотники одобряют крупные, желтяки.",Веселая работа,19
"Такие и Горкин уважает, и Василь Василич, и старичок-лавочник Юрцов: пеняют даже Пал Ермолаичу, что желтяков нонче маловато.",Веселая работа,19
"А я зеленые больше уважаю, с пупырками Нет, говорят, как можно, настоящий огурчик, который зрелый: куда сытней, хряпаешь — будто каша!",Веселая работа,19
"На розовых рогожах зеленые кучи огурца, пахнет зеленой свежестью.",Веселая работа,19
В долгом корыте моют.,Веселая работа,19
"Корыто — не корыто, а долгая будто лодка с перевоза.",Веселая работа,19
В этом корыте будут рубить капусту.,Веселая работа,19
"Андрюшка, искусник, выбирает крупные желтяки, разваливает стамеской «мясо», манит меня идти за ним на погребицу, где темней, ставит в пустые огурцы огарки… — и что за чудесные фонарики!",Веселая работа,19
"желто-зеленые, в разводах, — живые, сочные.",Веселая работа,19
"Берет из песка свекольные бураки, выдалбливает стамеской, зажигает огарочки… — и что за не виданный никогда огонь!",Веселая работа,19
"малиново-лиловый, живой, густо-густой и… бархатный!..",Веселая работа,19
вижу живым доселе.,Веселая работа,19
﻿Жил-был веселый барин — с утра до вечера песни пел.,Веселый барин,19
"Даже когда в таком месте сидел, куда царь пешком ходит, и то насвистывал.",Веселый барин,19
"А потому что послал ему Господь здоровье такое, что и самые ученые доктора дивились:
— Вам, — говорят, — и свистать, и петь никак не возбраняется, потому кишка у вас такая, что всё через её перегонять можете.",Веселый барин,19
Свистите — не сумлевайтесь.,Веселый барин,19
"Ну, и свистал, понятно.",Веселый барин,19
"Как, Господи благослови, поутру проснется, чайку-кофейку попьет с буденбродами всякими, икоркой да семушкой накроет, да пирожками заправится, да ветчинки-коклетки там отмахнет, — и свисти!",Веселый барин,19
"Сейчас на машину на свою, на автонобиль, — погоду обрявизовать надо, нащот морозу, все ли тортуары целы.",Веселый барин,19
"Кузнецкий Мост на своем ли месте стоит, нет ли диковинок каких новеньких… не гуляют ли, — на щиколад пригласить.",Веселый барин,19
"Слезет и погуляет, для аппетиту.",Веселый барин,19
"Идет-посвистывает, в тросточку губами наигрывает.",Веселый барин,19
"А мамзели, понятно, вкруг его увиваются-шелестят:
— Дозвольте познакомиться… как ваше здоровье…
А тот свое:
— Мерси-с-бонжур!",Веселый барин,19
"Не желаете ли прогуляться — щиколадом побаловаться…
Зайдут за стекла куда, в приличное заведение, щиколаду да крендельков там, поотдохнуть там… — ан селезенка-то и опять играет.",Веселый барин,19
"А там в банк — капиталы свои проведать, много ли набежало.",Веселый барин,19
"Сейчас ему из окошечка насчитают — раз-раз… — ""Можете получить тридцать тыщ!""",Веселый барин,19
"— ""Очень вами благодарен, мерсис"".",Веселый барин,19
"— Насует себе полны карманы, глядишь — уж и закусить пора, кишка своего дела требует.",Веселый барин,19
"Ну, в ресторан, понятно, под дерева, в куточек.",Веселый барин,19
"Сидит-посвистывает, а к нему лососинка уж подплывает, под графинчик, рябчики там пылят, огурчики зеленые, икорка зернистая натекает, — ну чего-чего только душа желает!..",Веселый барин,19
"Ну, понятно, винца шинпанского стаканет, пишша-то чтобы не застревала, перрабатывалась скорей, в кишке-то!",Веселый барин,19
"Сигарку в зубы, перегонка эта у его урчит — работает в самый раз, — опять в машину, высвистывай!",Веселый барин,19
"Ну, куда?",Веселый барин,19
"В Охотный Ряд, по делам съездить необходимо.",Веселый барин,19
"А уж там, сами знаете, и без ружья настреляешь, коли Господь сподобил.",Веселый барин,19
"Куропаточки-рябчики там — так в машину и налетают, раз-раз, безо всякого прицелу!",Веселый барин,19
"И стерлядки-то перед им полощутся, и поросятки… Ну, чисто вот как младенчики в корытцах, в ледке, подремывают… и апельсины-лимоны-мандарины — какого хошь товару нашвыряют-нашвыряют… и по бутылочной части, и балычка, и… — полна машина закусков всяких, — хо-ду!",Веселый барин,19
"Загудит-засвищет — ворота настежь, лакеи, горничные — под ручки да выбирать… А друзья-приятели к обеду уж поджидают, в ладошки плещут, — с благополучным приездом!",Веселый барин,19
"Ну, конечно, перед перегонкой-то, кровь-то чтобы прополировать, — в ванныю, духами прольется, — огурчик прямо.",Веселый барин,19
"А камергинер уж и докладывает:
— Пожалуйте, сударь-барин, на работу-с… на перегонку-с!",Веселый барин,19
"Ну, трудился таким манером до седьмого поту.",Веселый барин,19
А ни-чего!..,Веселый барин,19
"﻿Утром белел на лужах сквозной ледок, а теперь, за полдень, бегут ручьи, нежатся на солнышке собаки и полощутся бойко воробьи.",Весенний ветер,19
"Ветер – «вскрышной», тугой, сыровато-теплый.",Весенний ветер,19
"Потянет, рванет порой: бойкий весенний ветер.",Весенний ветер,19
Прислушаешься – шумит-смеется!,Весенний ветер,19
И небо – в ветре: густое-голубое за золотистыми прутьями тополей.,Весенний ветер,19
Тепло и – свежесть.,Весенний ветер,19
"И в свежести этой – струйки: от тающего снега, от потеплевшей земли и крыш, от бьющихся в ветре прутьев, которые посочнели и сияют от ветра, от ветра, пронесшегося полями и лесами?..",Весенний ветер,19
"И голубями как будто пахнет… томною воркотнёю их – чуется молодому сердцу, – и теплой сыростью погребов, запоздавших с набивкою, с помягчевшим льдом, зелеными-голубыми глыбами, с грохотом рухающимися в темные зевы лавок.",Весенний ветер,19
"Весна… Она засматривает в глаза разрумяненными «жаворонками» и белыми колпачками пасох в бумажных розанах, кивает с телеги веселой вербой – красноватыми прутьями и серенькими вербешками, золотится крестами в небе, кричит в голосах разносчиков…
Пятиклассник Федя – если бы его звали Георгий или Виктор, что значит «победитель»!",Весенний ветер,19
"– а то все: «Ах ты, Федя, съел медведя!» – сегодня совсем весенний: купленная для Пасхи легонькая фуражка с широкою модною тульею и с настоящим «гвардейским» кантом, весенняя шинелька, вынутая сегодня из сундука и пахнущая невыносимо нафталином, – к четвертому-то, пожалуй, выдохнется!",Весенний ветер,19
– сияющие новые калоши и кремовый шелковистый шарфик.,Весенний ветер,19
Шарфик делает его очень интересным.,Весенний ветер,19
"В новеньком портмоне – рубль восемьдесят пять копеек, вырученных вчера у букиниста за «Собрание сочинений Загоскина» в роскошном переплете.",Весенний ветер,19
"Но самое главное – «Ровно в 4, по Спасской башне!» На Вербе, под самой стеной Кремля, где с возков продается верба, условлена у них встреча с Ниной.",Весенний ветер,19
Дивное какое имя!..,Весенний ветер,19
"«Женщины гораздо находчивее мужчин!» – взволнованный близким счастьем, мечтал Федя, проходя мимо Иверской в ворота, где горластые молодцы орут: «А этот, с «морским», ярославским-костромским!» – а старушки курят «монашками» на жестянках и призывают сладко: «Возьмите, благодетели-кормильцы, для духовного воздушка…» – «Вот Ниночка-милочка…» – «Вот на Спасской пробьет четыре, буду в Вербах!» – «А то бы и не найти – миллион народу!..»
А над миллионом народа, над залитою дочерна великою Красной площадью, на которой, покачиваясь, ходят грозди красных и голубых шаров и незыблемо возвышаются под «Мининым» серые спины и синие шапки, с султанчиками молодцов-жандармов, – стрельчатая, увенчанная золотым орлом Спасская указывает на черном великом круге золотою стрелою – три!",Весенний ветер,19
"Федя в толпе, и его оглушает и гоготом, и писком, и щелканьем, и треском, и свистом-ревом – всем миллионным гулом народной Вербы.",Весенний ветер,19
"Сверкает и плещет в ветре, пестрит и колет бумажными цветами, вязками розочек иконных, пузатыми кувшинами с лимонадным морсом, стеклом и глазастой жестью, сусалью и подвесками, качающимися лампадками на цепочках, золотом-серебром на солнце, ризами и цветными поясками, пущенными воздушными шарами, яркими лоскутками… – звонкою пестротою торга.",Весенний ветер,19
"Кружит глаза и уши «летающими колбасами» с визгом, «тещиными языками» с писком, издыхающими чертями, свинками, русскими петрушками, «американскими» яблочками на резинках, трескучими троицкими кузнецами, дудками и барабанчиками, пистолетиками, свистульками, щелкунами, ревущими медведями, бякающими барашками со скрипом, барабанною дробью зайчиков…
Многоглавый и весь расписной Блаженный цветет на солнце над громким и пестрым торгом пупырьями и завитками, кокошничками и колобками цветных куполов своих – главный хозяин праздника.",Весенний ветер,19
"Глазеют-пучатся веселые купола его, сияют мягко кресты над ним, и голубиные стаи округ него.",Весенний ветер,19
Связки шаров веселых вытягиваются к нему по ветру.,Весенний ветер,19
"А строгие купола соборов из-за зубчатых кремлевских стен, в стороне от крикливой жизни, не играя старинной позолотой, милостиво взирают на забаву.",Весенний ветер,19
Взглядывают на них от торга – и вспоминают: «Пасха!» И на душе теплеет.,Весенний ветер,19
А Спасская выбивает переливом – третью четверть.,Весенний ветер,19
"«Пора к Вербам!..» – спохватывается Федя, и у него замирает сердце.",Весенний ветер,19
"Он представляет себе тоненькую фигуру Нины с длинными темными косами, милое личико, нежное, снежно-восковое, маленький ротик-губки, жемчужно белеющие зубки, остро закинутые брови и быстрые синеватые глаза, умные-умные, от которых он все робеет, не в силах оторваться.",Весенний ветер,19
